PONumber,ItemNumber,PartNumber,BoxNumber,Units,Warehouse,SAC,LBS
LCA20810,79,ESYH210-IND-S,LCA20810/00933,24,Warehouse,6110200000,1.04
LCA20810,79,ESYH210-IND-S,LCA20810/00934,24,Warehouse,6110200000,1.04
LCA20810,79,ESYH210-IND-S,LCA20810/00935,24,Warehouse,6110200000,1.04
LCA20810,80,ESYH210-IND-M,LCA20810/00936,24,Warehouse,6110200000,1.04
LCA20810,80,ESYH210-IND-M,LCA20810/00937,24,Warehouse,6110200000,1.04
LCA20810,81,ESYH210-IND-L,LCA20810/00938,24,Warehouse,6110200000,1.04
LCA20810,81,ESYH210-IND-L,LCA20810/00938.1,2,Warehouse,6110200000,1.04
LCA20810,82,ESYH210-IND-XL,LCA20810/00939,24,Warehouse,6110200000,1.04
LCA20810,82,ESYH210-IND-XL,LCA20810/00939.1,22,Warehouse,6110200000,1.04
