PONumber,ItemNumber,PartNumber,BoxNumber,Units,Warehouse,SAC,LBS
LCA19958,5,30008-703-2XL,LCA19958/00802,18,Warehouse,6110200000,1.04
LCA19958,6,30008-703-3XL,LCA19958/00803,18,Warehouse,6110200000,1.04
